Name                            Precision     Recall         F1    Count
--------------------------------------------------------------------
IntegerError                         0.92       0.95       0.94    32295
CodeQualityIssue                     0.57       0.89       0.68     7122
DangerousFunctionUsage               0.88       0.89       0.88      342
BufferOverflow                       0.93       0.96       0.94   102849
ConcurrencyIssue                     0.78       0.98       0.85     1424
InformationExposure                  0.77       0.77       0.73      199
ErrorHandlingIssue                   0.77       0.90       0.82    15011
IntegerUnderflow                     0.90       0.93       0.91    30042
not-vulnerable                       1.00       0.95       0.97   417964
ImproperInputValidation              0.95       0.97       0.96    40525
LogicError                           0.80       0.92       0.85    13471
RaceCondition                        0.90       0.97       0.93      943
ArithmeticError                      0.97       0.99       0.98     8685
UninitializedMemoryUse               0.91       0.99       0.94     9291
MaliciousCode                        0.89       0.96       0.92     1546
IntegerOverflow                      0.94       0.93       0.93    45057
MemoryCorruption                     0.94       0.91       0.92    74548
ResourceManagementIssue              0.86       0.91       0.88    30965
InsecureResourceManagement           0.65       0.90       0.74     3921


macroavg                             0.85       0.93       0.88   836200
weightedavg                          0.95       0.94       0.94   836200
