Name                            Precision     Recall         F1    Count
--------------------------------------------------------------------
CodeQualityIssue                     0.38       0.87       0.52     7224
ErrorHandlingIssue                   0.49       0.78       0.59    15099
ArithmeticError                      0.78       0.99       0.87     8604
not-vulnerable                       0.96       0.71       0.81   417765
UninitializedMemoryUse               0.73       0.96       0.82     9349
BufferOverflow                       0.70       0.88       0.77   102398
InsecureResourceManagement           0.37       0.86       0.50     3942
ImproperInputValidation              0.85       0.92       0.88    40900
IntegerError                         0.73       0.88       0.79    32550
MaliciousCode                        0.42       0.92       0.57     1561
DangerousFunctionUsage               0.59       0.88       0.69      388
IntegerOverflow                      0.81       0.88       0.84    45492
InformationExposure                  0.26       0.70       0.34      199
IntegerUnderflow                     0.68       0.87       0.75    29733
MemoryCorruption                     0.77       0.79       0.78    74037
ConcurrencyIssue                     0.44       0.96       0.59     1469
LogicError                           0.59       0.84       0.68    13345
ResourceManagementIssue              0.66       0.77       0.70    31253
RaceCondition                        0.58       0.96       0.72      892


macroavg                             0.61       0.86       0.69   836200
weightedavg                          0.84       0.78       0.79   836200
