Name                            Precision     Recall         F1    Count
--------------------------------------------------------------------
IntegerUnderflow                     0.32       0.42       0.34    29696
ConcurrencyIssue                     0.38       0.91       0.52     1417
RaceCondition                        0.79       0.97       0.86      984
InformationExposure                  0.00       0.10       0.00      199
ResourceManagementIssue              0.61       0.72       0.66    31263
ImproperInputValidation              0.88       0.88       0.88    40712
InsecureResourceManagement           0.28       0.75       0.40     4021
not-vulnerable                       0.97       0.66       0.79   417316
MemoryCorruption                     0.77       0.73       0.74    74502
UninitializedMemoryUse               0.65       0.96       0.77     9228
MaliciousCode                        0.52       0.90       0.64     1547
BufferOverflow                       0.59       0.87       0.70   102784
CodeQualityIssue                     0.17       0.67       0.26     7074
ArithmeticError                      0.21       0.56       0.28     8705
IntegerOverflow                      0.46       0.27       0.32    45668
LogicError                           0.66       0.72       0.69    13372
ErrorHandlingIssue                   0.35       0.65       0.45    14929
DangerousFunctionUsage               0.22       0.79       0.31      349
IntegerError                         0.60       0.78       0.68    32434


macroavg                             0.49       0.70       0.54   836200
weightedavg                          0.78       0.69       0.71   836200
